text,char,flags,length,unk
[M:I0102_R],0xa112,0x0000,0x0000,0x0010
[M:I1001P_E],0xa113,0x0000,0x0000,0x0010
[M:I1001S_E],0xa114,0x0000,0x0000,0x0010
[M:I0101_E],0xa115,0x0000,0x0000,0x0010
[M:I0104_E],0xa116,0x0000,0x0000,0x0010
[M:I0102_E],0xa117,0x0000,0x0000,0x0010
[M:I1001P_R_E],0xa118,0x0000,0x0000,0x0010
[M:I1001S_R_E],0xa119,0x0000,0x0000,0x0010
[M:I0101_R_E],0xa11a,0x0000,0x0000,0x0010
[M:I0104_R_E],0xa11b,0x0000,0x0000,0x0010
[M:I0102_R_E],0xa11c,0x0000,0x0000,0x0010
[M:IDL23_E],0xa11d,0x0000,0x0000,0x0010
[M:I1301_R],0xa11e,0x0000,0x0000,0x0010
[M:I1302_R],0xa11f,0x0000,0x0000,0x0010
[M:I1303_R],0xa120,0x0000,0x0000,0x0010
